0.002,0.0048,0.2283
0.0067,0.0164,0.0560
0.0095,0.0244,0.0612
0.0135,0.0541,0.0760
0.019,0.0879,0.0769
0.027,0.1297,0.0819
0.038,0.1466,0.0882
0.054,0.1648,0.0796
0.076,0.1356,0.0748
0.108,0.1025,0.0631
0.152,0.078,0.0661
0.215,0.0552,0.0480
