60.75,211.57,211.89
61,211.57,211.88
61.25,211.71,211.90
61.5,211.86,211.92
61.75,212.07,211.93
62,212.28,211.94
62.25,212.49,211.95
62.5,212.69,211.96
62.75,212.89,211.95
63,213.09,211.94
63.25,213.28,211.93
63.5,213.46,211.93
63.75,213.49,211.93
64,213.5,211.92
64.25,213.51,211.91
64.5,213.51,211.90
64.75,213.52,211.89
65,213.52,211.88
65.25,213.53,211.88
65.5,213.53,211.87
65.75,213.54,211.86
66,213.54,211.86
66.25,213.55,211.85
66.5,213.56,211.83
66.75,213.56,211.82
67,213.57,211.80
67.25,213.57,211.79
67.5,213.58,211.78
67.75,213.58,211.77
68,213.59,211.76
68.25,213.6,211.75
68.5,213.62,211.74
68.75,213.64,211.73
69,213.66,211.72
69.25,213.68,211.70
69.5,213.7,211.69
69.75,213.72,211.67
70,213.75,211.65
70.25,213.8,211.63
70.5,213.86,211.61
70.75,213.86,211.60
71,213.82,211.61
71.25,213.76,211.61
71.5,213.71,211.61
71.75,213.69,211.61
72,213.69,211.60
72.25,213.69,211.60
72.5,213.7,211.59
72.75,213.7,211.57
73,213.7,211.54
73.25,213.7,211.52
73.5,213.7,211.53
73.75,213.71,211.54
74,213.71,211.55
74.25,213.71,211.56
74.5,213.71,211.58
74.75,213.71,211.59
75,213.72,211.61
75.25,213.72,211.61
75.5,213.72,211.59
75.75,213.72,211.59
76,213.72,211.62
76.25,213.73,211.65
76.5,213.73,211.69
76.75,213.73,211.72
77,213.73,211.76
77.25,213.73,211.88
77.5,213.74,212.07
77.75,213.74,212.36
78,213.74,213.14
78.25,213.74,213.74
78.5,213.74,213.74
78.75,213.75,213.75
79,213.75,213.75
79.25,213.75,213.75
79.5,213.75,213.75
79.75,213.75,213.75
80,213.76,213.76
80.25,213.76,213.76
80.5,213.76,213.76
80.75,213.76,213.76
81,213.76,213.76
81.25,213.77,213.77
81.5,213.77,213.77
81.75,213.77,213.77
82,213.77,213.77
82.25,213.77,213.77
82.5,213.78,213.78
82.75,213.78,213.78
